icd10,nbdcode,nbd_label,rule_type,source_file,source_line
H72,80,Other sense organ disorders,static,NBD215grProgram.do,124
H73,80,Other sense organ disorders,static,NBD215grProgram.do,124
H74,80,Other sense organ disorders,static,NBD215grProgram.do,124
H75,80,Other sense organ disorders,static,NBD215grProgram.do,124
H76,80,Other sense organ disorders,static,NBD215grProgram.do,124
H77,80,Other sense organ disorders,static,NBD215grProgram.do,124
H78,80,Other sense organ disorders,static,NBD215grProgram.do,124
H79,80,Other sense organ disorders,static,NBD215grProgram.do,124
H80,80,Other sense organ disorders,static,NBD215grProgram.do,124
H81,80,Other sense organ disorders,static,NBD215grProgram.do,124
H82,80,Other sense organ disorders,static,NBD215grProgram.do,124
H83,80,Other sense organ disorders,static,NBD215grProgram.do,124
H90,78,Hearing loss not due to other diseases or injuries,static,NBD215grProgram.do,121
H91,78,Hearing loss not due to other diseases or injuries,static,NBD215grProgram.do,121
H92,80,Other sense organ disorders,static,NBD215grProgram.do,124
H93,80,Other sense organ disorders,static,NBD215grProgram.do,124
I00,81,Rheumatic heart disease,static,NBD215grProgram.do,125
I01,81,Rheumatic heart disease,static,NBD215grProgram.do,125
I02,81,Rheumatic heart disease,static,NBD215grProgram.do,125
I03,81,Rheumatic heart disease,static,NBD215grProgram.do,125
I04,81,Rheumatic heart disease,static,NBD215grProgram.do,125
I05,81,Rheumatic heart disease,static,NBD215grProgram.do,125
I06,81,Rheumatic heart disease,static,NBD215grProgram.do,125
I07,81,Rheumatic heart disease,static,NBD215grProgram.do,125
I08,81,Rheumatic heart disease,static,NBD215grProgram.do,125
I09,81,Rheumatic heart disease,static,NBD215grProgram.do,125
I10,82,Hypertensive heart disease,static,NBD215grProgram.do,126
I11,82,Hypertensive heart disease,static,NBD215grProgram.do,126
I12,82,Hypertensive heart disease,static,NBD215grProgram.do,126
I13,82,Hypertensive heart disease,static,NBD215grProgram.do,126
I15,207,Secondary hypertension,static,NBD215grProgram.do,255
I20,83,Ischaemic heart disease,static,NBD215grProgram.do,127
I21,83,Ischaemic heart disease,static,NBD215grProgram.do,127
I22,83,Ischaemic heart disease,static,NBD215grProgram.do,127
I23,83,Ischaemic heart disease,static,NBD215grProgram.do,127
I24,83,Ischaemic heart disease,static,NBD215grProgram.do,127
I25,83,Ischaemic heart disease,static,NBD215grProgram.do,127
I26,166,Pulmonary embolism,static,NBD215grProgram.do,214
I27,90,Other circulatory diseases,static,NBD215grProgram.do,134
I28,90,Other circulatory diseases,static,NBD215grProgram.do,134
I30,84,"Pericarditis, endocarditis and myocarditis",static,NBD215grProgram.do,128
I31,84,"Pericarditis, endocarditis and myocarditis",static,NBD215grProgram.do,128
I33,84,"Pericarditis, endocarditis and myocarditis",static,NBD215grProgram.do,128
I34,90,Other circulatory diseases,static,NBD215grProgram.do,134
I35,90,Other circulatory diseases,static,NBD215grProgram.do,134
I36,90,Other circulatory diseases,static,NBD215grProgram.do,134
I37,90,Other circulatory diseases,static,NBD215grProgram.do,134
I38,84,"Pericarditis, endocarditis and myocarditis",static,NBD215grProgram.do,128
I39,84,"Pericarditis, endocarditis and myocarditis",static,NBD215grProgram.do,128
I40,84,"Pericarditis, endocarditis and myocarditis",static,NBD215grProgram.do,128
I42,85,Cardiomyopathy,static,NBD215grProgram.do,129
I44,167,Atrioventricular and left bundle-branch block,static,NBD215grProgram.do,215
I45,168,Other conduction disorders,static,NBD215grProgram.do,216
I46,203,Cardiac arrest,static,NBD215grProgram.do,251
I47,87,Conduction disorders and other dysrythmias,static,NBD215grProgram.do,131
I48,87,Conduction disorders and other dysrythmias,static,NBD215grProgram.do,131
I49,204,Other cardiac arrhythmias,static,NBD215grProgram.do,252
I50,205,Heart failure,static,NBD215grProgram.do,253
I51,146,Ill defined descriptions of heart disease and unspecified disorders of circulatory system,static,NBD215grProgram.do,196
I60,86,Cerebrovascular disease,static,NBD215grProgram.do,130
I61,86,Cerebrovascular disease,static,NBD215grProgram.do,130
I62,86,Cerebrovascular disease,static,NBD215grProgram.do,130
I63,86,Cerebrovascular disease,static,NBD215grProgram.do,130
I64,86,Cerebrovascular disease,static,NBD215grProgram.do,130
I65,86,Cerebrovascular disease,static,NBD215grProgram.do,130
I66,86,Cerebrovascular disease,static,NBD215grProgram.do,130
I67,86,Cerebrovascular disease,static,NBD215grProgram.do,130
I68,86,Cerebrovascular disease,static,NBD215grProgram.do,130
I69,86,Cerebrovascular disease,static,NBD215grProgram.do,130
I70,208,Atherosclerosis,static,NBD215grProgram.do,256
I71,88,Aortic aneurism,static,NBD215grProgram.do,132
I72,90,Other circulatory diseases,static,NBD215grProgram.do,134
I73,89,Peripheral vascular disorders,static,NBD215grProgram.do,133
I74,169,Arterial embolism and thrombosis,static,NBD215grProgram.do,217
I77,90,Other circulatory diseases,static,NBD215grProgram.do,134
I78,90,Other circulatory diseases,static,NBD215grProgram.do,134
I80,90,Other circulatory diseases,static,NBD215grProgram.do,134
I81,170,Portal vein thrombosis,static,NBD215grProgram.do,218
I82,90,Other circulatory diseases,static,NBD215grProgram.do,134
I83,90,Other circulatory diseases,static,NBD215grProgram.do,134
I84,90,Other circulatory diseases,static,NBD215grProgram.do,134
I85,174,Oesophageal varices,static,NBD215grProgram.do,222
I86,90,Other circulatory diseases,static,NBD215grProgram.do,134
I87,90,Other circulatory diseases,static,NBD215grProgram.do,134
I88,90,Other circulatory diseases,static,NBD215grProgram.do,134
I89,90,Other circulatory diseases,static,NBD215grProgram.do,134
I95,90,Other circulatory diseases,static,NBD215grProgram.do,134
I96,90,Other circulatory diseases,static,NBD215grProgram.do,134
I97,90,Other circulatory diseases,static,NBD215grProgram.do,134
I98,90,Other circulatory diseases,static,NBD215grProgram.do,134
I99,147,Hypertension,static,NBD215grProgram.do,197
J00,12,Upper respiratory infections,static,NBD215grProgram.do,38
J01,12,Upper respiratory infections,static,NBD215grProgram.do,38
J02,12,Upper respiratory infections,static,NBD215grProgram.do,38
J03,12,Upper respiratory infections,static,NBD215grProgram.do,38
J04,12,Upper respiratory infections,static,NBD215grProgram.do,38
J05,12,Upper respiratory infections,static,NBD215grProgram.do,38
J06,12,Upper respiratory infections,static,NBD215grProgram.do,38
J09,11,Lower respiratory infections,static,NBD215grProgram.do,32
J10,11,Lower respiratory infections,static,NBD215grProgram.do,32
J11,11,Lower respiratory infections,static,NBD215grProgram.do,32
J12,11,Lower respiratory infections,static,NBD215grProgram.do,32
J13,11,Lower respiratory infections,static,NBD215grProgram.do,32
J14,11,Lower respiratory infections,static,NBD215grProgram.do,32
J15,11,Lower respiratory infections,static,NBD215grProgram.do,32
