series_id,display_name,domain,hierarchy,cause_type,za_codes,denominator_za_codes,measure,unit,legacy_compare_names,legacy_rate_names,include_explorer,include_comparison,sort_order,notes
za_133,Mechanical forces,injury,detailed,injury,133,,,,,Mechanical forces,TRUE,FALSE,133,Direct ZA cause from the final NBD3 database.
za_134,Exposure to natural forces,injury,detailed,injury,134,,,,,,TRUE,FALSE,134,Direct ZA cause from the final NBD3 database.
za_135,Adverse effects medical/surgical,injury,detailed,injury,135,,,,,Adverse effects of medical & surgical,TRUE,FALSE,135,Direct ZA cause from the final NBD3 database.
za_136,Animal contact,injury,detailed,injury,136,,,,,Animal contact,TRUE,FALSE,136,Direct ZA cause from the final NBD3 database.
za_137,Other unintentional injuries,injury,detailed,injury,137,,,,,Other unintentional,TRUE,FALSE,137,Direct ZA cause from the final NBD3 database.
za_138,Self-inflicted injuries,injury,detailed,injury,138,,,,,Self-inflicted injuries,TRUE,FALSE,138,Direct ZA cause from the final NBD3 database.
za_139,Interpersonal violence,injury,detailed,injury,139,,,,,Interpersonal violence,TRUE,FALSE,139,Direct ZA cause from the final NBD3 database.
za_140,Legal intervention (structural zero),injury,detailed,injury,140,,,,,,TRUE,FALSE,140,Structural zero retained for final database compatibility.
za_145,Infectious and parasitic diseases,natural,group,natural,145,,,,,,TRUE,FALSE,145,Direct ZA cause from the final NBD3 database.
za_146,Respiratory infections,natural,group,natural,146,,,,,,TRUE,FALSE,146,Direct ZA cause from the final NBD3 database.
za_147,Maternal conditions,natural,group,natural,147,,,,,,TRUE,FALSE,147,Direct ZA cause from the final NBD3 database.
za_148,Perinatal conditions,natural,group,natural,148,,,,,,TRUE,FALSE,148,Direct ZA cause from the final NBD3 database.
za_149,Nutritional deficiencies,natural,group,natural,149,,,,,,TRUE,FALSE,149,Direct ZA cause from the final NBD3 database.
za_150,HIV/AIDS and TB,natural,group,natural,150,,,,,,TRUE,FALSE,150,Direct ZA cause from the final NBD3 database.
za_151,Malignant neoplasms,natural,group,natural,151,,,,,,TRUE,FALSE,151,Direct ZA cause from the final NBD3 database.
za_152,Benign neoplasms,natural,group,natural,152,,,,,,TRUE,FALSE,152,Direct ZA cause from the final NBD3 database.
za_153,Diabetes mellitus,natural,group,natural,153,,,,,,TRUE,FALSE,153,Direct ZA cause from the final NBD3 database.
za_154,Endocrine and metabolic,natural,group,natural,154,,,,,,TRUE,FALSE,154,Direct ZA cause from the final NBD3 database.
za_155,Mental disorders,natural,group,natural,155,,,,,,TRUE,FALSE,155,Direct ZA cause from the final NBD3 database.
za_156,Nervous system disorders,natural,group,natural,156,,,,,,TRUE,FALSE,156,Direct ZA cause from the final NBD3 database.
za_157,Sense organs,natural,group,natural,157,,,,,,TRUE,FALSE,157,Direct ZA cause from the final NBD3 database.
za_158,Cardiovascular disease,natural,group,natural,158,,,,,,TRUE,FALSE,158,Direct ZA cause from the final NBD3 database.
